Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,sentiment_overall,emotional_traits,behavioral_traits,concepts
847,47,Flattering shirt,This shirt is very flattering to all due to the adjustable front tie  it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan  love this shirt   ,5,1,6,General,Tops,Blouses,22.7,,,"['shirt', 'tie', 'leggings', 'cardigan', 'length', 'sleeveless', 'front', 'adjustable', 'perfect']"
853,41,Looks great with white pants,Took a chance on this blouse and so glad i did  i wasn t crazy about how the blouse is photographed on the model  i paired it whit white pants and it worked perfectly  crisp and clean is how i would describe it  launders well  fits great  drape is perfect  wear tucked in or out   can t go wrong ,5,1,0,General,Tops,Blouses,19.7,Happiness Like,Unlawfulness,"['blouse', 'trousers', 'wear', 'drape', 'crazy about', 'model', 'crisp', 'glad', 'perfect', 'white', 'clean']"
847,33,"Cute, crisp shirt",If this product was in petite  i would get the petite  the regular is a little long on me but a tailor can do a simple fix on that      fits nicely  i m 5 4  130lb and pregnant so i bough t medium to grow into      the tie can be front or back so provides for some nice flexibility on form fitting ,4,1,2,General,Tops,Blouses,14.39,,,"['tailor', 'petite', 'regular', 'repair', 'product', 'flexibility', 'tie', 'bough', 'form', 'tiny', 'nice', 'some', 'pregnant', 'front', 'fitting']"
847,55,Versatile,I love this shirt because when i first saw it  i wasn t sure if it was a shirt or dress  since it is see through if you wear it like a dress you will need a slip or wear it with leggings  i bought a slip  wore the tie in the back  and rocked it with white wedges  you could also wear it as a vest  be careful with the buttons  i haven t had any fall off yet  but i feel like they will  overall it s great for any occasion and it s fun to wear ,5,1,0,General,Tops,Blouses,11.8,Amusement,Concern,"['shirt', 'haven', 'chemise', 'clothes', 'dress', 'vest', 'tie', 'leggings', 'chit', 'back', 'downfall', 'wedge', 'fun', 'occasion', 'any']"
823,52,,Very comfortable  material is good  cut out on sleeves flattering,5,1,0,General,Tops,Blouses,26.29,,,"['material', 'arm', 'comfortable', 'flattering', 'good']"
845,38,"Cute, but massive sweep",This top is so cute  but it is massively babydoll shaped  a  line  which is not apparent from the pictures  i measured the xs i have and the chest is about 42  and sweep is over 70   i would definitely keep this top if it hung straighter  the craftsmanship is lovely and fabric is so natural and handwoven looking  i m thinking about asking my tailor if she can take the sides in  but that might ruin it as the fabric layout is cut and proportioned to this swing style ,4,1,10,General Petite,Tops,Blouses,0.5,,,"['fabric', 'craft', 'building', 'chest', 'sweep', 'top', 'layout', 'tailor', 'picture', 'line', 'way', 'handwoven', 'cute', 'beautiful', 'apparent']"
822,36,Short and boxy,Why do designers keep making crop tops     i can t imagine this would be flattering on anyone  especially someone average height and well endowed on top  i looked like a football player  the pattern and fabric are gorgeous  so if you are like 4  tall and super tiny and can fit xxs this may work  i am between a 6 8 and fit a small and it was huge on me and almost was bigger at the bottom than the top  such a weird cut  there is a cami underneath so if it rides up that will show but that is so 80s,2,0,0,General,Tops,Blouses,1.5,,,"['fabric', 'top', 'football player', 'camisole', 'pattern', 'designer', 'crop', 'height', 'bottom', 'gorgeous', 'weird', 'tiny', 'huge', 'cutting', 'tall']"
850,27,Beautiful design,I have a short torso and this works well for me  34c  bought the 0  there s not much stretch to the fabric so it is fitted to my chest  but not in an uncomfortable way  definitely doesn t hang and have extra fabric like on the model      zipper goes almost all the way down to the bottom so it s easier to get on and off which makes up for the lack of stretch n the fabric     unlike another reviewer  i found it went really well with navy pants and i wore it to a business meeting under a blazer  wi,5,1,4,General,Tops,Blouses,2.59,,,"['fabric', 'zip', 'chest', 'trousers', 'hang', 'torso', 'blazer', 'reviewer', 'bed', 'stretch', 'navy', 'patronage', 'want', 'meeting', 'model']"
845,48,Very very cute but a lot of fabric,I am so drawn to baby doll and boxy shirts so i immediately tried this on in the store  i am petite and only 5 2   so usually shirts with a lot of fabric swallow me whole but this one was still cute  there is a lot more fabric than the picture lets on  but i think it is still super cute and flattering  i would definitely check the size chart and read comments to see if someone with your same size description has recommended a specific size for your body type  i am petite and weigh about 110 lbs,5,1,5,General Petite,Tops,Blouses,5.5,,,"['fabric', 'shirt', 'kind', 'chart', 'size', 'commentary', 'store', 'picture', 'body type', 'sizing', 'doll', 'many', 'flattering', 'tiny', 'read']"
850,28,Zipper broke,The zipper broke on this piece the first time i wore it  very disappointing since i love the design  i m actually going to try to replace the zipper myself with something stronger  but annoying that it s come to that ,2,0,0,General Petite,Tops,Blouses,-7.59,Irritation Disappointment,,"['zip', 'design', 'disappointing', 'piece', 'time', 'strong']"
836,47,Obsessed,I usually size up with this brand  small was perfect for me at 135lbs  this top has a luxurious but casual feel and beautiful  i am obsessed and want to wear it everyday  it wears a little long and drapey but a little tight where it rolls up in the arms ,5,1,1,General,Tops,Blouses,6.69,,,"['long', 'brand', 'small', 'peak', 'tactile property', 'arm', 'obsessed', 'luxurious', 'everyday', 'casual', 'beautiful', 'perfect', 'little', 'tight']"
822,68,Just lovely,I purchased this top in an antro store last week  the quality is wonderful and the greenish blue color is very unique  the blouse has a beautiful stretchy camsiole that is attached at the shoulders  but can be removed by snaps  i tooks great when worn two different ways  i wore it with the campole out  and it peeks through the blouse at the bottom  it also looks great when the camisole is worn in  my only wish is that it would come in a petite size as it s a touch big at the shoulders and neckli,5,1,3,General,Tops,Blouses,0.5,Like,,"['blouse', 'turquoise', 'store', 'color', 'camisole', 'snap', 'quality', 'shoulder', 'size', 'touch', 'stretchy', 'want', 'top', 'beautiful', 'tiny']"
850,39,Neutral blue,I tried this on from the sale section  and they only had a 2  i usually do 0   and surprisingly  that size was the right fit  it is fitted  with just enough room to eat       te blue is a light blue  almost neutral  with the white embroidery  i think it looked stylish  and decided to keep it  the peplum part hit just in the right spot  i am short  petite  but my torso is normal size   ,4,1,0,General Petite,Tops,Blouses,2.29,Surprise,,"['peplum', 'blue', 'size', 'embroidery', 'topographic point', 'room', 'stylish', 'sit', 'sale', 'size', 'part', 'torso', 'enough', 'light blue', 'tiny']"
845,38,Huge,Really cute piece  but it s huge  i ordered an xxs petite and it was unfortunately extremely wide and not flattering  returning ,2,0,4,General Petite,Tops,Blouses,-18.5,,,"['petite', 'flattering', 'cute', 'huge', 'broad', 'piece']"
836,24,"Pretty, but not for me...",I bought this top online in the burnt orange color and was so excited to get it  when i tried it on  the fit was fine but it just lacked   something  the back was a little bit too long  the front was a little bit too short and it lacked the overall tailored look that i was after  gorgeous fabric and top  but not for me  i wanted something more for  150  bought the velvet tunic instead   ,4,1,3,General,Tops,Blouses,-17.6,Excitement,Emotionality,"['tunic', 'velvet', 'fabric', 'look', 'back', 'color', 'fit', 'front', 'custom', 'gorgeous', 'burnt', 'bit', 'little', 'emotional', 'orange']"
850,29,,This top is so much prettier in real life than it is on the model  the pattern and texture are both lovely  and the peplum is surprisingly flattering  it is definitely on the short side  but i think that gives it a modern look  the fabric does not stretch at all  but i still think it fits tts  if you have a very large chest you may want to go up a size  but otherwise i would order your normal size ,5,1,5,General Petite,Tops,Blouses,5.9,Surprise,Organization,"['fabric', 'texture', 'size', 'peplum', 'chest', 'real world', 'pattern', 'normal', 'model', 'look', 'pretty', 'neat', 'side', 'inadequate', 'cover']"
850,23,"Beautifully made, but not versatile",This shirt caught my eye because of how beautiful it was  i love the shape  design  and and the color  it s perfect for spring and summer with some white pants  unfortunately  i don t see any possibilities for this shirt to be worn any other way  so far  it doesn t work with any of my jeans  skirts  or shorts  i usually prefer items with more versatility for outfits  so i m still on the fence if i m going to keep it or not  with that aside  it seriously is a great quality shirt with a beautiful,4,1,3,General Petite,Tops,Blouses,2.9,,,"['shirt', 'skirt', 'trousers', 'jeans', 'shorts', 'possibility', 'color', 'item', 'outfit', 'versatility', 'spring', 'pattern', 'fence', 'shapes', 'quality']"
845,44,,I usually wear a medium and bought a small  it fit ok  but had no shape and was not flattering  i love baby doll dresses and tops  but this was a tent  my daughter saw me try it on and said  that s a piece of tablecloth   it s going back ,1,0,0,General Petite,Tops,Blouses,13.3,Love,,"['dress', 'top', 'doll', 'daughter', 'regular', 'tent', 'form', 'tablecloth', 'baby', 'no', 'piece', 'little']"
822,69,Stunning lace top,This top is absolutely stunning  i purchased the white one  just received and it fits nicely a little on the big side but i believe it looks better that way  this will look great with everything  it is well constructed and looks very unique  love it ,5,1,2,General,Tops,Blouses,25.2,Like,,"['arresting', 'cover', 'white', 'unique', 'large']"
822,23,Not a fan,The fabric felt cheap and i didn t find it to be a flattering top  for reference i am wearing a medium in the photos and my measurements are 38 30 40 ,2,0,9,General,Tops,Blouses,3.29,,,"['measure', 'fabric', 'regular', 'photo', 'reference', 'flattering', 'cover']"
836,66,Excited ... but ...,I bought this lovely silk velvet shirt in the  quot sky quot  color but it is more on the teal blue side than sky blue  which disappointed me  it is definitely darker than appears in photo  still a luxurious well made beauty with sassy appeal  it drapes like a snake slithering down your body  it comes with attitude ,5,1,0,General,Tops,Blouses,-2.2,Disappointment,Self-confidence Irresponsibility,"['velvet', 'silk', 'shirt', 'sky blue', 'sky', 'beauty', 'well', 'appeal', 'teal', 'photo', 'snake', 'beautiful', 'body', 'attitude', 'sassy']"
836,47,Beautiful shirt but runs small!,Was so excited to order this beautiful shirt   and the color sky is gorgeous   but as another reviewer said  it runs small   it was also way too short   so sadly i will be returning this   i gave it 5 stars because it is beautiful and great quality  it just didn t fit me ,4,1,11,General,Tops,Blouses,6.8,Sadness Excitement,,"['sky', 'shirt', 'reviewer', 'star', 'quality', 'gorgeous', 'color', 'excited', 'beautiful', 'way', 'short', 'beautiful']"
836,66,Beautiful,I ordered ivory in xl because this brand tends to run tight if you re well endowed  it s a beautiful color and i love the contrasting plaid lining the inside of the collar and cuffs  haven t decided about keeping it because it looks oversized  but cozy  and it s really long  it almost touches the top of my knees in back  sooooo pretty though ,4,1,0,General,Tops,Blouses,1.89,,Organization,"['lining', 'plaid', 'inside', 'handcuff', 'haven', 'brand', 'choker', 'well', 'knee', 'ivory', 'contrasting', 'forty', 'top', 'cosy', 'oversized']"
836,23,Perfect fall shirt!,The shirt is exactly as it is pictured  i have the burnt orange color and love it  i received numerous compliments both paired with jeans and tucked into a fun skirt  it fits true to size  as i normally wear a small in all retailer however it is the slightest bit tight in the shoulders  i would give this top a 5 5 ,5,1,3,General,Tops,Blouses,6.3,Amusement Like,,"['jeans', 'compliment', 'small', 'shirt', 'size', 'retailer', 'skirt', 'shoulder', 'both', 'burnt', 'color', 'fun', 'slight', 'numerous', 'orange']"
836,50,"Beautiful, stunning, cozy top!",I read the first review on this and ordered both a small and a medium as i thought this would run small  i have to totally disagree with the reviewer  i find that this top runs true to size or even generous  the sky color is so pretty and this top can be dressed up with some nice heels and a necklace or it can be comfy casual  i usually wear a small in hh brand and this one was true to fit  5 2   broad shoulders  120 lb ,5,1,24,General,Tops,Blouses,9.1,,Disagreement,"['small', 'media', 'small', 'reviewer', 'shoulder', 'brand', 'size', 'sky', 'necklace', 'review', 'run', 'comfortable', 'heels', 'pretty', 'generous']"
850,37,Awkward fitting,First  the fabric is beautiful and lovely for spring and summer  i really wanted to like this top  but the fitting is so awkward for me  i typically where a 0 xs  and sized up in the shirt to a size 2  it was very tight and pulled funny across the chest  size 32 a   i also found the cut at the shoulders very narrow  need a strapless bra  and made it look unflattering overall  had to return this one back to the store ,2,0,0,General,Tops,Blouses,5.0,Amusement,Disagreement,"['strapless bra', 'shirt', 'fabric', 'fitting', 'store', 'spring', 'shoulder', 'funny', 'size', 'summer', 'chest', 'unflattering', 'pulled', 'beautiful', 'cut']"
836,54,Cozy casual - perfect for fall,The color is perfect for fall and into winter  only the inside collar on the photo shows the subtle plaid lining  the lining was an unexpected bonus  and adds even more dimension to the shirt if the sleeves are turned up   the fit is true to size and the  stressed  velvet fabric is current for this season   i m going to enjoy wearing this shirt ,5,1,4,General,Tops,Blouses,5.5,Stress Surprise,,"['lining', 'shirt', 'fabric', 'plaid', 'velvet', 'collar', 'sleeve', 'winter', 'photo', 'bonus', 'sizing', 'season', 'sit', 'autumn', 'inside']"
836,24,So beautiful! gorgeous orange color!,After reading the previous reviews  i ordered a size larger  i am so glad i did it  it fits perfectly  i am 5 4  115 32dd and went with the s regular  so beautiful  i can t wait to wear it ,5,1,0,General,Tops,Blouses,3.2,Happiness,,"['wait', 'sizing', 'regular', 'review', 'glad', 'beautiful', 'old']"
845,62,,Intrepid soul that i am  i washed it in the machine in cold water on a 25 minute cycle  then put it in the dryer for 8 minutes  shook it out  hung it up  and it is just the same as when it went in  doesn t need to be ironed and didn t shrink  yes  the swing is vast  but that is part of its charm  pair it with a fitted piece on the bottom and no one will think that you are actually needing that much material to cover anything  i think it is fun  something i will use for years  wonderfully comfort,4,1,3,General Petite,Tops,Blouses,6.19,Amusement Empathy,Humour Courage Self-confidence,"['yes', 'machine', 'dryer', 'shrinkage', 'appeal', 'person', 'domain', 'cycle', 'want', 'brave', 'bottom', 'fitted', 'swing', 'couple', 'much']"
