Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,sentiment_overall,emotional_traits,behavioral_traits,concepts
1080,34,,Love this dress   it s sooo pretty   i happened to find it in a store  and i m glad i did bc i never would have ordered it online bc it s petite   i bought a petite and am 5 8    i love the length on me  hits just a little below the knee   would definitely be a true midi on someone who is truly petite ,5,1,4,General,Dresses,Dresses,4.8,Happiness,Violence,"['petite', 'length', 'midi', 'tiny', 'knee', 'store', 'glad', 'real']"
1077,60,Some major design flaws,I had such high hopes for this dress and really wanted it to work for me  i initially ordered the petite small  my usual size  but i found this to be outrageously small  so small in fact that i could not zip it up  i reordered it in petite medium  which was just ok  overall  the top half was comfortable and fit nicely  but the bottom half had a very tight under layer and several somewhat cheap  net  over layers  imo  a major design flaw was the net over layer sewn directly into the zipper   it c,3,0,0,General,Dresses,Dresses,6.4,,Organization Creativity,"['top half', 'halfback', 'design', 'net', 'flaw', 'zip', 'hope', 'small', 'dress', 'size', 'layer', 'layer', 'stratum', 'bottom', 'tiny']"
1080,49,Not for the very petite,I love tracy reese dresses  but this one is not for the very petite  i am just under 5 feet tall and usually wear a 0p in this brand  this dress was very pretty out of the package but its a lot of dress  the skirt is long and very full so it overwhelmed my small frame  not a stranger to alterations  shortening and narrowing the skirt would take away from the embellishment of the garment  i love the color and the idea of the style but it just did not work on me  i returned this dress ,2,0,4,General,Dresses,Dresses,11.0,,,"['skirt', 'clothes', 'dress', 'garment', 'brand', 'trend', 'color', 'embellishment', 'small', 'change', 'shortening', 'stranger', 'parcel', 'many', 'tiny']"
1077,24,Flattering,I love this dress  i usually get an xs but it runs a little snug in bust so i ordered up a size  very flattering and feminine with the usual retailer flair for style ,5,1,0,General,Dresses,Dresses,23.6,,,"['dress', 'sizing', 'genius', 'bust', 'style', 'cosy', 'retailer', 'flattering', 'feminine', 'usual']"
1077,34,Such a fun dress!,I m 5 5  and 125 lbs  i ordered the s petite to make sure the length wasn t too long  i typically wear an xs regular in retailer dresses  if you re less busty  34b cup or smaller   a s petite will fit you perfectly  snug  but not tight   i love that i could dress it up for a party  or down for work  i love that the tulle is longer then the fabric underneath ,5,1,0,General,Dresses,Dresses,7.3,,,"['dress', 'fabric', 'tulle', 'length', 'work', 'will', 'tight', 'regular', 'party', 'cup', 'cosy', 'tiny', 'retailer', 'busty']"
1077,53,Dress looks like it's made of cheap material,Dress runs small esp where the zipper area runs  i ordered the sp which typically fits me and it was very tight  the material on the top looks and feels very cheap that even just pulling on it will cause it to rip the fabric  pretty disappointed as it was going to be my christmas dress this year  needless to say it will be going back ,3,0,14,General,Dresses,Dresses,-13.8,Disappointment,Disagreement,"['zip', 'dress', 'extrasensory perception', 'fabric', 'area', 'material', 'tight', 'look', 'frustrated', 'needless', 'small', 'cheap']"
1095,39,,This dress is perfection  so pretty and flattering ,5,1,2,General Petite,Dresses,Dresses,79.59,,,"['perfection', 'dress', 'flattering']"
1095,53,Perfect!!!,More and more i find myself reliant on the reviews written by savvy shoppers before me and for the most past  they are right on in their estimation of the product  in the case of this dress if it had not been for the reveiws i doubt i would have even tried this  the dress is beautifully made  lined and reminiscent of the old retailer quality  it is lined in the solid periwinkle colored fabric that matches the outer fabric print  tts and very form fitting  falls just above the knee and does not rid,5,1,2,General Petite,Dresses,Dresses,8.5,,,"['dress', 'fabric', 'framework', 'product', 'appraisal', 'periwinkle', 'shopper', 'critique', 'knee', 'quality', 'print', 'reliant', 'form', 'bleached', 'astute']"
1077,50,Pretty party dress with some issues,This is a nice choice for holiday gatherings  i like that the length grazes the knee so it is conservative enough for office related gatherings  the size small fit me well   i am usually a size 2 4 with a small bust  in my opinion it runs small and those with larger busts will definitely have to size up  but then perhaps the waist will be too big   the problem with this dress is the quality  the fabrics are terrible  the delicate netting type fabric on the top layer of skirt got stuck in the zip,3,1,1,General,Dresses,Dresses,-16.2,Like Love,Traditionalism,"['fabric', 'gauze', 'breast', 'skirt', 'dress', 'size', 'sizing', 'waist', 'zip', 'problem', 'quality', 'knee', 'choice', 'office', 'holiday']"
1077,47,Stylish and comfortable,I love the look and feel of this tulle dress  i was looking for something different  but not over the top for new year s eve  i m small chested and the top of this dress is form fitting for a flattering look  once i steamed the tulle  it was perfect  i ordered an xsp  length was perfect too ,5,1,0,General,Dresses,Dresses,13.6,,Organization,"['dress', 'tulle', 'top', 'look and feel', 'eve', 'new year', 'length', 'look', 'flattering', 'perfect', 'form', 'different']"
1080,55,I'm torn!,I m upset because for the price of the dress  i thought it was embroidered  no  that is a print on the fabric  i think i cried a little when i opened the box  it is still ver pretty  i would say it is true to size  it is a tad bit big on me  but i am very tiny  but i can still get away with it  the color is vibrant  the style is unique  skirt portion is pretty poofy  i keep going back and forth on it mainly because of the price  although the quality is definitely there  except i wish it were emb,4,1,14,General,Dresses,Dresses,1.2,Sadness,Emotionality,"['price', 'skirt', 'dress', 'fabric', 'portion', 'tad', 'print', 'quality', 'color', 'style', 'size', 'box', 'vibrant', 'tiny', 'unique']"
1077,31,Not what it looks like,First of all  this is not pullover styling  there is a side zipper  i wouldn t have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me   second of all  the tulle feels and looks cheap and the slip has an awkward tight shape underneath   not at all what is looks like or is described as  sadly will be returning  but i m sure i will find something to exchange it for ,2,0,7,General,Dresses,Dresses,-0.4,Embarrassment Sadness,,"['zip', 'styling', 'pullover', 'side', 'chemise', 'breast', 'tulle', 'impossible', 'form', 'awkward', 'all', 'tight']"
1077,34,"Like it, but don't love it.",Cute little dress fits tts  it is a little high waisted  good length for my 5 9 height  i like the dress  i m just not in love with it  i dont think it looks or feels cheap  it appears just as pictured ,3,1,0,General,Dresses,Dresses,6.3,Like,,"['dress', 'length', 'love', 'waisted', 'cute', 'good', 'high', 'little']"
1104,39,,Love the color and style  but material snags easily,3,1,3,General,Dresses,Dresses,36.2,,,"['sawyer', 'material', 'style', 'vividness']"
1095,36,,I got this in the petite length  size o  and it fit just right  i like that i didn t have to have it altered in the length  can wear with flats with plenty of clearance to the floor from the bottom hem  my only beef with the design is the height of the waist  i personally think that the elastic waistband looks cheap  and really needs to be concealed with a belt  yet because it sits so high  literally right under the bustline  it s a tricky one to pull off  i have a wide belt that sort of does th,4,1,0,General Petite,Dresses,Dresses,0.89,Like,,"['waistband', 'belt', 'beef', 'waist', 'design', 'storey', 'height', 'length', 'clearance', 'apartment', 'kind', 'size', 'bed', 'only', 'tiny']"
1095,41,Gorgeous dress!,This dress is simply beautiful and stunning  it is so figure flattering and i can t wait to wear it  size small worked for me  and since i m tall it fell right to my ankle which is perfect for me  i could not be happier with the purchase and the keyhole in the back is a beautiful detail ,5,1,0,General Petite,Dresses,Dresses,20.0,,,"['small', 'ankle', 'back', 'sizing', 'dress', 'wait', 'purchase', 'keyhole', 'detail', 'flattering', 'arresting', 'beautiful', 'happy', 'beautiful', 'perfect']"
1078,56,Great summer fabric!,I really wanted this to work  alas  it had a strange fit for me  the straps would not stay up  and it had a weird fit under the breast  it worked standing up  but the minute i sat down it fell off my shoulders  the fabric was beautiful  and i loved that it had pockets ,3,0,1,General Petite,Dresses,Dresses,8.5,,,"['fit', 'tit', 'strap', 'fabric', 'shoulder', 'pocket', 'minute', 'weird', 'strange', 'beautiful']"
1081,59,,I passed up this dress so many times in the store and finally tried it on today because i wanted a casual dress while traveling in the cape  i was surprised how much cuter it is on than on hanger  i sized down to get a more fitting look and really made a difference for me in style  i was not a fan of the way it looked so loose on model  it looks really cute fitted and a bit sexy even  it is lined and very comfy and can be dressed up a but for work with a cardi  i believe i will get a lot of wear,5,1,1,General Petite,Dresses,Dresses,7.3,Surprise,Dynamism Bias,"['clothes', 'dress', 'store', 'hanger', 'cape', 'look', 'way', 'many', 'aficionado', 'times', 'so many', 'fitted', 'fitting', 'comfortable', 'cute']"
1082,31,Runs large in top and waist,I would have loved this dress if the bust and waist were just a little more fitted  i am 32c and the top was too big  fit perfectly on hips  the lace material means it cannot be easily altered  so i chose to return the dress  i would have definitely kept it if it were a better fit ,4,1,0,General,Dresses,Dresses,-0.3,,Initiative,"['dress', 'top', 'breast', 'waist', 'material', 'lace', 'fit', 'sit', 'altered', 'large', 'good']"
1081,62,So cute...but dry clean?!,This dress is adorable   it s a perfect casual look for summer and the quality is nice with the lining  though still overpriced  in my opinion   the tie detail is somewhat adjustable  and i found my normal size s to fit fine  5 7  128    where this gets me is the fact that it s dry clean   totally doesn t make sense for a dress that is essentially a fancy tshirt for summer  i might bring it back for that alone  since i originally planned to wear it a lot    ,4,1,2,General Petite,Dresses,Dresses,3.79,,Organization Rationality,"['tie', 'clothes', 'lining', 'dress', 'quality', 'detail', 'size', 'fact', 'summer', 'band', 'look', 'overpriced', 'adorable', 'adjustable', 'cursory']"
