Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,sentiment_overall,emotional_traits,behavioral_traits,concepts
767,33,,Absolutely wonderful   silky and sexy and comfortable,4,1,0,Initmates,Intimate,Intimates,100.0,,,"['silky', 'fantastic', 'sexy', 'comfortable']"
767,44,Runs big,Bought the black xs to go under the larkspur midi dress because they didn t bother lining the skirt portion  grrrrrrrrrrr    my stats are 34a 28 29 36 and the xs fit very smoothly around the chest and was flowy around my lower half  so i would say it s running big   the straps are very pretty and it could easily be nightwear too   i m 5 6  and it came to just below my knees ,5,1,0,Initmates,Intimate,Intimates,-0.8,,,"['dress', 'midi', 'skirt', 'larkspur', 'statistics', 'portion', 'nightwear', 'strap', 'chest', 'half', 'knee', 'pretty', 'low', 'black', 'large']"
368,33,,I am pregnant and i thought this would be a great sleep bra  it s soft and fits okay  but it has zero support or shape  i would only buy if you are a b cup or smaller and can get away without support  if i would have seen this is the store  i would have passed over it  however  i was too lazy to return so i am wearing it  it s comfortable so that s a redeeming quality  i would not recommend for larger chested ladies  though ,2,0,3,Initmates,Intimate,Intimates,-11.69,,Sedentariness,"['keep', 'store', 'bra', 'soft', 'sleep', 'shapes', 'support', 'cup', 'quality', 'lady', 'redeeming', 'lazy', 'pregnant', 'comfortable']"
368,52,Soft and comfortable,I ve been looking for bralettes that provide some support but not binding tight for night time and casual wear  this is a light weight bra  could be a little more supportive  pretty color  with nice lines  only downside is the retailer tag on the back   itchy  i need to remove it  ,4,1,1,Initmates,Intimate,Intimates,-25.6,,,"['bra', 'casual', 'night', 'downside', 'itchy', 'support', 'visible light', 'weight', 'color', 'retailer', 'only', 'supportive', 'rear', 'discriminate', 'label']"
368,36,Itchy tags,3 tags sewn in  2 small  about 1   long  and 1 huge  about 2   x 3     very itchy so i cut them out  then the thread left behind was plasticy and even more itchy  how can you make an intimates item with such itchy tags  not comfortable at all  also   i love bralettes and wear them all the time including to work  i am a b cup  however  this one is so thin and flimsy that it gives no support even to a b cup   so for me this would only be a lounging bralette   if it wasn t so itchy ,1,0,0,Initmates,Intimate,Intimates,-0.1,,,"['intimate', 'thread', 'item', 'cup', 'flimsy', 'support', 'small', 'lounging', 'label', 'no', 'comfortable', 'itchy', 'such', 'thin', 'huge']"
746,34,Lovely fabric but tiny hips,If your hips are bigger than a size 6 us you can t fully close this robe  the model must be wearing the larger of the two sizes to have such a nice oversized fit  the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt  if i was taller and thinner i would have kept this and worn it every day ,3,1,0,Initmates,Intimate,Intimates,-1.1,Sadness,,"['hip', 'dart', 'size', 'fabric', 'robe', 'behind', 'mannequin', 'lux', 'back', 'closure', 'weird', 'oversized', 'amazing', 'nice', 'soft']"
724,69,Cute slip but very body hugging,Ordered this in white  it is really nice and sexy but very body hugging and unforgiving  perhaps it is my large stomach  but it hugs a bit too much for my liking  yet i think overall the design is very nice so i am keeping it and hoping i can lose some weight in my tum ,4,1,1,Initmates,Intimate,Intimates,17.2,Affection,,"['stomach', 'weight', 'liking', 'pattern', 'unforgiving', 'some', 'sexy', 'nice', 'bit', 'large', 'body', 'white']"
204,30,Else lingerie jardin silk bralette review,This bra is extremely comfortable and surprisingly supportive considering the lack of padding or firm material  it also runs large ,5,1,0,Initmates,Intimate,Intimates,55.4,Surprise,,"['large', 'bra', 'want', 'padding', 'material', 'supportive', 'comfortable', 'firm']"
754,48,Classic with a twist,Beautiful pajama bottoms  i purchased these as a special treat for myself  luckily  i found a review on another site  stating that these run small  before pirchasing  no one wants tight pjs  order a size up  also  i m 5 8  tall and the length is just right  if you are taller  you may find this style too short  i haven t ordered the top  because i m not sure of the fit  but i m guessing it also runs small  based on the photo ,5,1,0,Initmates,Intimate,Intimates,5.9,,Organization,"['trend', 'haven', 'pajama', 'small', 'size', 'length', 'small', 'treat', 'fit', 'photo', 'review', 'site', 'bottom', 'special', 'beautiful']"
1154,39,"Pretty color, nice fit, fun t-back",I guess this is a true to size  i am usually a 30dd and ordered 32d  fits great  the back is really pretty  so even though it is a tiny bit looser  i decided to keep it   ,5,1,0,Initmates,Intimate,Intimates,3.2,,,"['back', 'true', 'size', 'ordered', 'tiny', 'bit']"
