Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,sentiment_overall,emotional_traits,behavioral_traits,concepts
858,39,Cagrcoal shimmer fun,I aded this in my basket at hte last mintue to see what it would look like in person   store pick up   i went with teh darkler color only because i am so pale     hte color is really gorgeous  and turns out it mathced everythiing i was trying on with it prefectly  it is a little baggy on me and hte xs is hte msallet size  bummer  no petite   i decided to jkeep it though  because as i said  it matvehd everything  my ejans  pants  and the 3 skirts i waas trying on  of which i  kept all   oops ,5,1,1,General Petite,Tops,Knits,-3.4,,,"['store', 'bummer', 'basket', 'skirt', 'oops', 'trousers', 'size', 'baggy', 'gorgeous', 'tiny', 'color', 'pale', 'no', 'last']"
858,39,"Shimmer, surprisingly goes with lots",I ordered this in carbon for store pick up  and had a ton of stuff  as always  to try on and used this top to pair  skirts and pants   everything went with it  the color is really nice charcoal with shimmer  and went well with pencil skirts  flare pants  etc  my only compaint is it is a bit big  sleeves are long and it doesn t go in petite  also a bit loose for me  but no xxs    so i kept it and wil ldecide later since the light color is already sold out in hte smallest size   ,4,1,4,General Petite,Tops,Knits,6.69,,,"['trousers', 'pencil skirt', 'arm', 'paint', 'skirt', 'top', 'store', 'petite', 'shimmer', 'charcoal grey', 'carbon', 'stuff', 'ton', 'col-', 'size']"
862,59,,Great casual top with flare  looks cute with grey pilcro stet jeans  flattering with peplum in back  nice cut for shoulders and neckline ,5,1,0,General,Tops,Knits,2.7,,,"['jeans', 'flare', 'shoulder', 'stet', 'peplum', 'neckline', 'cover', 'casual', 'cute', 'cutting', 'skillful', 'great', 'dismal']"
862,47,,Pretty and unique  great with jeans or i have worn it to work with slacks and heels  the colors  print  and embroidery are lovely  reasonably priced ,4,1,1,General,Tops,Knits,12.3,,Rationality,"['slacks', 'black and white', 'jeans', 'embroidery', 'color', 'great', 'priced', 'unique', 'beautiful']"
862,40,,This is a beautiful top  it s unique and not so ordinary  i bought my usual medium and i found that it fits tight across my chest  although i had a baby this year and i am nursing  so that could be why  if i bought again i would size up ,5,1,0,General,Tops,Knits,1.7,,,"['chest', 'baby', 'medium', 'usual', 'beautiful', 'average', 'unique', 'top']"
862,48,Beautiful!,Tried this on today at my local retailer and had to have it  it is so comfortable and flattering  it s too bad the picture online has the model tucking it into the skirt because you can t see the ruching across the front  a little dressier alternative to a plain tee and reasonably priced for retailer  5 8   and i generally wear a 6  the small fit well  will probably be back for the black ,5,1,9,General,Tops,Knits,3.0,,Rationality,"['mannequin', 'ruching', 'skirt', 'photo', 'fit', 'alternative', 'jersey', 'retailer', 'forged', 'dressy', 'black', 'comfortable', 'plain', 'minor', 'front']"
862,43,Love the two tone design,I bought this item from online    the fit on the model looked a little loose but when i got mine it seemed a bit tight  so i took it back to the store   ordered a larger size  for the sale price this is a great top ,4,1,0,General,Tops,Knits,0.5,,Initiative Organization,"['sizing', 'item', 'model', 'sale price', 'store', 'fit', 'large', 'great', 'cover', 'bit', 'loose']"
862,40,,I love this top  i wear it all the time   the problem is that you can tell i wear it all the time as the fabric has started to fade   i d still recommend it as it is so comfortable ,5,1,0,General,Tops,Knits,6.3,,,"['fabric', 'problem', 'comfortable']"
862,33,Love the embroidery!,Really cute top  the embroidery on the collar   bib of this top is beautiful and unique  received lots of compliments   questions about where i got it  i m rather busty up top and the medium fit well  a small probably would ve fit better but it s still super adorable ,5,1,0,General,Tops,Knits,15.3,,,"['embroidery', 'bib', 'top', 'compliment', 'choker', 'question', 'media', 'cute', 'busty', 'adorable', 'beautiful', 'unique']"
862,46,Cute for fall,This is a cute top that can transition easily from summer to fall  it fits well  nice print and it s comfortable  i tried this on in the store  but did not purchase it because the color washed me out  this is not the best color for a blonde  would look much better on a brunette  if this was in a different color i most likely would have purchased it ,4,1,1,General,Tops,Knits,3.0,,,"['blonde', 'brunette', 'print', 'store', 'summer', 'autumn', 'transition', 'nice', 'cute', 'color', 'comfortable', 'good', 'cover']"
862,41,Love,I absolutely love this bib tee  it s probably my favorite retailer purchase of all time  i m 5 7   140 pounds and the small was a perfect fit for me  i typically wear either a s or m tops ,5,1,2,General,Tops,Knits,18.6,,,"['bib', 'top', 'purchase', 'fit', 'small', 'retailer', 'favourite', 'perfect']"
862,39,Flattering and comfortable,Very soft and comfortable  the shirt has an unusual  asymmetrical seam that appears along the front  right hand side of the garment   the model is positioned so that you can t see this detail from the picture  i attached a picture that includes the front seam   i actually like the seam   it creates more visual interest  and adds a little bit of ruching that helps hide my belly  the cowl neck is very well done   there are two layers that form the cowl  and i ve found that it means wardrobe malfun,5,1,34,General,Tops,Knits,4.9,Like,,"['seam', 'cowl', 'ruching', 'shirt', 'picture', 'wrinkle', 'garment', 'belly', 'photo', 'a bit of', 'detail', 'interest', 'wardrobe', 'layer', 'model']"
862,66,Cute top,Nice top  armholes are a bit oversized but as an older woman  i m picky about that  the print is pretty and unusual  it just didn t look great on me  there s a slight peplum in the back that hangs nicely  it s a lightweight tee fabric that s opaque  i tried it on with a black bra which was barely visible  great for warmer climates but there are so many gorgeous tops out now  that i decided to return since summer is winding down  i do recommend ,4,1,2,General,Tops,Knits,5.19,Like,,"['bra', 'fabric', 'jersey', 'peplum', 'armhole', 'climate', 'great', 'woman', 'print', 'back', 'summer', 'picky', 'black', 'slight', 'gorgeous']"
862,61,Soft and cute as can be!,This is an adorable top that i find to be extremely comfortable  i don t usually buy prints but this one is so feminine and looks great with dark wash jeans  i am a 36d and the medium was a perfect fit ,5,1,2,General,Tops,Knits,9.5,,,"['media', 'jeans', 'print', 'fit', 'wash', 'adorable', 'feminine', 'comfortable', 'perfect', 'cover', 'dark']"
862,31,"Boring front, great back",This tank fit well and i loved the ruffle in the back and how it layed  but the front was not a good look and i will be retuning it ,3,0,0,General,Tops,Knits,-1.29,,,"['ruffle', 'tank', 'look', 'back', 'kind', 'front']"
862,28,Must have,I recently got this on sale after looking at it forever on my wish list  i m so happy with it  its very comfortable and just long enough for my torso  5 3   the pattern on the front is very flattering ,5,1,0,General,Tops,Knits,7.4,Happiness,,"['pattern', 'torso', 'wish list', 'flattering', 'for sale', 'comfortable', 'front', 'happy']"
862,57,Cute top! love the brand,Very comfortable shirt  light weight top with lovely floral colors  great for spring summer with white jeans  love everything one september makes ,5,1,1,General,Tops,Knits,16.79,,,"['September', 'jeans', 'exercising weight', 'shirt', 'spring', 'summer', 'color', 'beautiful', 'floral', 'comfortable', 'white', 'light']"
862,43,Love this top,Loved this top and was really happy to find it on sale ,5,1,0,General,Tops,Knits,84.5,Happiness,,"['for sale', 'happy', 'cover']"
862,58,,Beautiful top  but delicate  i wore it to school and the straps on my backpack caused some pilling  other than that it is beautiful and vibrant  just make sure you aren t doing wearing anything that will rub it continuously since the fabric is delicate,4,1,2,General,Tops,Knits,9.5,,,"['strap', 'backpack', 'school', 'fabric', 'delicate', 'vibrant', 'beautiful', 'fragile']"
862,60,Super cute and unique top,Just received this in the mail  tried it on and am smitten  i m usually a l  but sometimes i m a xl  if no stretch   in retailer tops  i bought this one in l and i m sure glad i did  very flowy  stretchy and comfortable  i also bought the meda lace top from one september and they are very similar expect this is more of a t shirt and the other is more of a blouse  i almost think i could ve gotten a m in this because there is a lot of extra fabric at the chest which is usually never the issue for me,4,1,9,General,Tops,Knits,0.0,Happiness,,"['fabric', 'blouse', 'jersey', 'lace', 'chest', 'September', 'many', 'stretch', 'issue', 'stretchy', 'other', 'retailer', 'forty', 'no', 'comfortable']"
862,40,Beautiful top,Love this top  i kept eyeing it online and wavering on size  since my post baby body is a little wonky  i went with the xsp  and miraculously  it works perfectly  so  i would say it does run just a little large      i love the length  and usually do not go with petite sizes at retailer because i like the longer lengths of the regular  but this is perfect on me  and there is give up top  so it looks lovely  and it is very soft and comfortable  this will be a go to top this season ,5,1,1,General,Tops,Knits,25.0,Like,,"['retailer', 'size', 'give', 'length', 'go', 'duration', 'regular', 'season', 'tiny', 'baby', 'shaky', 'beautiful', 'post', 'comfortable', 'perfect']"
862,37,I wanted to love this top...,I really loved this top online and wanted to love it in person  it is soft and the patter is okay in person  the neckline is higher than i am used to  also  there are two buttons in the back that must be unbuttoned in order to wear the top  it is difficult to button them behind your neck with the top on  unfortunately i had to return this item   ,2,0,0,General,Tops,Knits,8.89,Like,,"['patter', 'high-pitched', 'neck', 'back', 'neckline', 'top', 'messenger boy', 'difficult', 'soft', 'cover', 'detail']"
866,47,,I love this top  it is loose and comfortable  it is not sheer so you don t need a cami  it runs a little large so size down if you want a more tailored fit  1 criticism  it catches on sharp jewelry or belts and can pull if you are not careful ,4,1,0,General Petite,Tops,Knits,3.2,,Superficiality,"['belt', 'jewellery', 'criticism', 'camisole', 'size', 'stylish', 'custom', 'rank', 'careful', 'comfortable', 'large', 'loose']"
863,61,,Loved this top  great design  comfortable and unique  soft material,5,1,4,General Petite,Tops,Knits,100.0,,,"['material', 'design', 'comfortable', 'unique', 'foremost', 'great', 'soft']"
861,37,Casual & unique tee,I received this shirt in my typical xs and it fits perfectly  i m not crazy in love with it but i also don t dislike  the shirt is on the thin side  do i need to wear a cami underneath it  no  my concern is holes  it does remind me of a material that could develop some holes after some wear and washes  with that being said i ll wash this shirt in cold water and hang dry and hopefully that will prevent holes from developing  the length is fine and i do like the slits in front it adds a little dim,3,1,0,General Petite,Tops,Knits,-4.0,Disgust,Positivity,"['shirt', 'washing', 'hole', 'camisole', 'existence', 'material', 'concern', 'slit', 'll.', 'love', 'length', 'crazy', 'typical', 'fine', 'dry']"
866,58,,I was really hoping to like this  but it did not look the way it does on the model  at least not on me  the sharkbite hem is much more pronounced and looser  the one in the photo looks like it was pinned back  i am 5 8  and usually wear a medium or large  i got a medium and there was a lot more material on the bottom half than the photo shows  it made me look bigger and was not flattering  material has a nice weave but it s thin and delicate  i bought the  holly  deep olive and the blue  colors,1,0,2,General Petite,Tops,Knits,3.59,,,"['holly', 'weave', 'photo', 'olive', 'hem', 'color', 'medium', 'regular', 'one', 'half', 'material', 'delicate', 'material', 'bottom', 'nice']"
861,23,,nan,5,1,0,General Petite,Tops,Knits,0.0,,,['naan']
863,83,Casual elegance!,Purchased this top online  and when i received it was very pleased   it has and elegant cut and yet is a casual fabric   love that the sleeves run longer      ads to the overall look   also loved the v neckline         enhances the feel of the overall style   with various necklaces this top has limitless options   the color states moss    which i usually think of as greenish brown      i found it to be more of a taupe   would have liked it to have a green tones  however it is still a fantastic f,5,1,14,General,Tops,Knits,7.19,Satisfaction,,"['neckline', 'feel', 'fabric', 'arm', 'moss', 'color', 'option', 'necklace', 'hairstyle', 'advertising', 'style', 'taupe', 'tone', 'look', 'boundless']"
861,44,Huge,I was very excited to order this top in red xs  so cute  but it was huge  shapeless and support thin  it had to go back  i should ve looked at other reviews ,1,0,0,General Petite,Tops,Knits,22.89,Excitement,Organization,"['review', 'amorphous', 'excited', 'support', 'top', 'cute', 'huge', 'other', 'red']"
861,33,Pernette henley,I am in need of easy comfortable tops for everyday wear  i bought this top mostly because of the cute buttons  when i received it  it looked exactly as it does in the picture online  however  the buttons kept slipping out of their homes because the holes were slightly too big  the shirt fit but was just a tad snug near the upper arms  which would stretch and loosen up throughout the day  it s definitely a comfortable shirt  but it felt more like a pajama top  it s going back ,3,0,17,General Petite,Tops,Knits,12.3,,,"['shirt', 'messenger boy', 'top', 'upper arm', 'clothing', 'need', 'pajama', 'tad', 'film', 'comfortable', 'hole', 'snug', 'comfortable', 'casual', 'cute']"
861,39,Comfy,At first i wasn t sure about it  the neckline is much lower and wavy than i thought  but after wearing it  it really is comfortable  it stretches a lot  so i wear a cami underneath so when i lean forward i m not showing the world my torso ,4,1,0,General Petite,Tops,Knits,1.39,,,"['camisole', 'draw', 'neckline', 'torso', 'wavy', 'comfortable', 'low']"
863,40,"Simple, stylish, lovely-runs a bit big",I find that this brand can be a little bit all over the place with sizes  had i tried this on in person i may have bought it in a small instead of a m  despite being a bit big it still looks great and hides my flaws well  i bought a m in another shirt from them  the seamed scoop neck  and that shirt was a full 2 inches smaller in the bust than this  just something to keep in mind  still a great shirt  love the neutral color ,4,1,5,General,Tops,Knits,0.6,Like,,"['shirt', 'scoop neck', 'well', 'flaw', 'bust', 'kind', 'bit', 'bit', 'size', 'lined', 'little', 'color', 'another', 'neutral', 'great']"
863,51,,Runs big and looked unflattering  i am petite  might work on someone taller ,2,0,0,General,Tops,Knits,-3.29,,Disagreement,"['might', 'unflattering', 'tiny', 'tall', 'large']"
861,44,Poor quality,This is so thin and poor quality  especially for the price  it felt like a thin pajama top  the buttons are terrible little shell buttons  this could not have been returned faster ,1,0,11,General Petite,Tops,Knits,-25.6,,,"['price', 'pajama', 'quality', 'terrible', 'thin', 'mediocre', 'shell', 'little', 'messenger boy']"
863,52,Cute tee,This one totally worked for me  love the color  length  and style ,4,1,0,General,Tops,Knits,31.5,,,"['length', 'style', 'vividness']"
861,33,The perfect striped t,The perfect striped t shirt  and the cute little buttons down the front are a wonderful accent with each one being different  i love it ,5,1,0,General Petite,Tops,Knits,26.39,Like,,"['jersey', 'accent', 'cute', 'striped', 'messenger boy', 'little', 'fantastic', 'perfect', 'front', 'each']"
863,28,Great top,This top is super comfy and casual  the slit design in the front gives it more of a stylish look than your average white long sleeve tee  would definitely recommend ,5,1,0,General,Tops,Knits,26.89,,,"['jersey', 'arm', 'casual', 'design', 'notch', 'stylish', 'look', 'comfortable', 'front', 'cover', 'white']"
861,46,Pernette henley,In my retailer this was hung over in the pj section  and it really has more of a jammie top feel    soft  thin and stretchy  it s super cozy and comfortable and it drapes really nice  mine seems to have stretched out a little  especially the neckline  and the little buttons have a hard time staying closed   i m happy with it though for what it is   a great  casual day t ,4,1,1,General Petite,Tops,Knits,5.4,Happiness Well-Being,,"['neckline', 'hard time', 'mine', 'feel', 'casual day', 'retailer', 'part', 'stretchy', 'cosy', 'nice', 'comfortable', 'little', 'foremost', 'messenger boy', 'thin']"
861,35,,nan,4,1,0,General Petite,Tops,Knits,0.0,,,['naan']
862,40,,nan,5,1,0,General,Tops,Knits,0.0,,,['naan']
868,51,Great for summer,Love this cream sleeveless top    it goes with everything and you can dress it up or down  this will be a go to top all summer long and probably wear thru the fall as well with a layered sweater  if needed  i typically wear small or medium size and got the medium hoping for a little longer length  i am 5 7  34c  and overall wt  of approx  128 lbs   it fits very nicely   thank you retailer ,4,1,0,General Petite,Tops,Knits,6.09,,Gratefulness,"['retailer', 'sweater', 'cream', 'size', 'summer', 'fall', 'length', 'go', 'medium', 'overall', 'sleeveless', 'medium', 'layered', 'little', 'greatest']"
