Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,sentiment_overall,emotional_traits,behavioral_traits,concepts
1049,50,My favorite buy!,I love  love  love this jumpsuit  it s fun  flirty  and fabulous  every time i wear it  i get nothing but great compliments ,5,1,0,General Petite,Bottoms,Pants,54.5,Amusement,,"['jumpsuit', 'compliment', 'fun', 'flirtatious', 'fabulous', 'great']"
1065,47,"Nice, but not for my body",I took these out of the package and wanted them to fit so badly  but i could tell before i put them on that they wouldn t  these are for an hour glass figure  i am more straight up and down  the waist was way too small for my body shape and even if i sized up  i could tell they would still be tight in the waist and too roomy in the hips   for me  that said  they are really nice  sturdy  linen like fabric  pretty color  well made  i hope they make someone very happy ,4,1,3,General,Bottoms,Pants,11.39,Happiness,Positivity,"['waist', 'hip', 'linen', 'fabric', 'body', 'glass', 'shapes', 'parcel', 'color', 'hour', 'spacious', 'tough', 'nice', 'little', 'way']"
1065,34,"You need to be at least average height, or taller",Material and color is nice   the leg opening is very large   i am 5 1  100   and the length hits me right above my ankle   with a leg opening the size of my waist and hem line above my ankle  and front pleats to make me fluffy  i think you can imagine that it is not a flattering look   if you are at least average height or taller  this may look good on you ,3,1,2,General,Bottoms,Pants,0.8,,,"['leg', 'ankle', 'waist', 'hem', 'pleat', 'textile', 'length', 'color', 'size', 'assembly line', 'open', 'height', 'look', 'fluffy', 'flattering']"
1060,33,,Beautifully made pants and on trend with the flared crop  so much cuter in person  love these ,5,1,0,General Petite,Bottoms,Pants,15.89,,,"['trousers', 'trend', 'flared', 'cute', 'craw']"
1060,46,Cuter in oerson!,I never would have given these pants a second look online  in person they are much cuter  the stripes are brighter and the fit more flattering  the crop has a cute flare which is right on trend  this brand has always run small for me  i am 5 8 about 140lbs and carry some chubbiness in the belly  i paired it with a collarless loose navy blazer,5,1,7,General Petite,Bottoms,Pants,4.0,Happiness,,"['brand', 'chubbiness', 'small', 'belly', 'trousers', 'flare', 'crop', 'blazer', 'stripe', 'navy', 'look', 'collarless', 'trend', 'cute', 'flattering']"
1060,21,Love these pants,These pants are even better in person  the only downside is that they need to be dry cleaned ,5,1,0,General Petite,Bottoms,Pants,3.4,,,"['downside', 'trousers', 'only', 'good', 'dry']"
1060,65,Lovely!,Wouldn t have given them a second look but tried them on in store of a whim  love  love  ,4,1,3,General Petite,Bottoms,Pants,23.1,Love,,"['impulse', 'love', 'store', 'dear', 'look']"
1066,57,Great crop pant,So i love pilcro  i wear them all the time and usually size down because they  grow  after wearing them  i tried on my usual size in these and felt like they are too tight  not sure if they will get any looser  the material feels really good  lightweight and the stripes are subtle but cute  not sure if i ll keep them or maybe size up ,4,1,3,General,Bottoms,Pants,0.6,,,"['size', 'stripe', 'material', 'll.', 'usual', 'lightweight', 'subtle', 'cute', 'sure', 'good', 'tight']"
1066,46,"Wonderful weight for summer, flattering",I tried these on on a whim because i liked the shirt that they were displayed with in the store and was surprised how much i liked them  they are a great lighter weight alternative to the pilcro hyphen chino  great for hot days of summer   the subtle vertical stripes go with everything and help elongate the leg  overall a really flattering cut  the waist is not too low and does not create muffin top ,5,1,8,General,Bottoms,Pants,5.3,Like,,"['leg', 'muffin top', 'waist', 'stripe', 'chino', 'shirt', 'store', 'hyphen', 'weight', 'impulse', 'summer', 'flattering', 'subtle', 'vertical', 'alternative']"
1066,29,Comfortable & stylish crop pants,The blush stripes are subtle but they definitely give elongating effect to your legs     very comfortable pair of crop pants but my calves are definitely feeling tight in there ,5,1,1,General,Bottoms,Pants,11.1,Embarrassment,,"['stripe', 'trousers', 'blush', 'calf', 'leg', 'crop', 'pair', 'comfortable', 'subtle', 'result']"
