Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,sentiment_overall,emotional_traits,behavioral_traits,concepts
523,43,Australian sizing!!,So  disappointed that no where in the limiting did it mention this suit is australian in size   i ordered the 10  i m usually an 8 but that was sold out  and the suit arrives and doesn t even fir over my hips     the label clearly says 10 australian us 6   gutted that i have to return this suit because of this sizing issue   the suit looks to be well made and the design is adorable of it only for ,3,0,2,Initmates,Intimate,Swim,-1.2,Disappointment,Organization,"['suit', 'size', 'label', 'fir', 'hip', 'sizing', 'pattern', 'limiting', 'adorable', 'frustrated', 'no']"
305,46,Very small,Bought a large  could barely pull up over my butt  runs extremely small  it s cute but if your not a stick figure  this is not the suit for you ,2,0,0,Initmates,Intimate,Swim,-2.59,,,"['large', 'suit', 'stick figure', 'behind', 'cute']"
234,33,,nan,5,1,0,Initmates,Intimate,Swim,0.0,,,['naan']
252,35,,nan,4,1,0,Initmates,Intimate,Swim,0.0,,,['naan']
252,36,,Ordered the navy and aqua in medium  the aqua fit a lot tighter than the navy seemed to be a different fabric and less stretchy  loved the color on both but returning the the aqua  normally wear size 6,4,1,0,Initmates,Intimate,Swim,3.2,,Organization,"['turquoise', 'navy', 'color', 'fabric', 'size', 'stretchy', 'medium']"
252,46,Best bathing suit!,When i tried on this bathing suit  i decided to not try on any others  it was just right  i usually find bathing suit shopping difficult and no fun  as i can never find a suitable bathing suit  this suit looks nice flattering  and i can also move around in it and it stays in place  i purchased it in the navy and i m going to order it in another pattern as well  it looks modern and classic  it s a chic style  i m a size 6 in dresses  and i purchased a size 10 in this bathing suit ,5,1,0,Initmates,Intimate,Swim,10.19,,Seriousness Organization,"['swimsuit', 'suit', 'dress', 'fun', 'shopping', 'sizing', 'size', 'navy', 'look', 'style', 'pattern', 'flattering', 'chic', 'no', 'nice']"
252,28,My new favorite swim suit,The colors and fit of this suit are even better than described  it is the most comfortable and flattering one piece i have ever tried on      as noted by other reviewers  there is limited support in the chest  this suit will keep you covered but does not provide lift ,5,1,0,Initmates,Intimate,Swim,5.59,,,"['suit', 'sit', 'chest', 'reviewer', 'color', 'support', 'flattering', 'limited', 'comfortable', 'covered', 'good', 'piece']"
252,36,Perfect suit,I had been looking for a one piece that is fashionable yet practical  fabric is beautiful  fit is impeccable  no complaints on lack of support  i find if you tie it tight up top it s very practical  this was the perfect choice for me  i am 5 3  120 lbs and ordered the small ,5,1,4,Initmates,Intimate,Swim,4.4,,Organization,"['small', 'choice', 'want', 'fabric', 'practical', 'slice', 'undefiled', 'no', 'fashionable', 'support', 'complaint', 'beautiful', 'perfect', 'useful']"
252,36,Great suit for busy moms!,This suit fits like a glove  i ve had five kids and am currently nursing my last baby so i was looking for a suit to wear to the beach this summer when i m just not feeling a bikini  this is it  it s comfortable and not binding easy to nursing and swim in  overall worth the extra splurge  i m tall too so it was plenty long on my torso ,5,1,3,Initmates,Intimate,Swim,0.89,,,"['suit', 'bikini', 'beach', 'glove', 'baby', 'child', 'splurge', 'torso', 'worth', 'comfortable', 'other', 'total']"
252,35,Wonderful swimsuit,This swimsuit fits exactly as i had hoped  i purchased it in the teal dot and it is a little brighter than in the photos  but i ended up liking that better  it is well made with thick  but not too thick  lined material  also  i was initially worried that the deep v neck may be too deep for my liking  but once i had it on it looked classic and not showy  i love the suit ,5,1,0,Initmates,Intimate,Swim,23.39,Worry,Apprehension,"['suit', 'neck', 'swimsuit', 'deep', 'dot', 'deep', 'teal', 'photo', 'liking', 'material', 'thick', 'thick', 'showy', 'lined', 'worried']"
